event_date,event_date,year,ethiopia_event,ethiopia_fatalities,somalia_event,somalia_fatalities,libya_event,libya_fatalities,rwanda_event,rwanda_fatalities,eritrea_event,eritrea_fatalities,sa_event,sa_fatalities,niger_event,niger_fatalities,nigeria_event,nigeria_fatalities
1997-01-31,0,0.0,0.0,0.0,0.0,0.0,1,8,13,146,0.0,0.0,1,4,5,15,12,11
1997-02-28,1997-02-28,1997.0,1.0,2.0,1.0,1.0,0,0,15,65,1.0,100.0,3,6,3,0,13,30
1997-03-31,1997-03-31,1997.0,1.0,0.0,1.0,0.0,0,0,7,176,0.0,0.0,3,4,0,0,16,38
1997-04-30,1997-04-30,1997.0,4.0,1.0,1.0,2.0,0,0,6,187,0.0,0.0,6,7,0,0,17,112
1997-05-31,1997-05-31,1997.0,2.0,1.0,0.0,0.0,0,0,8,78,0.0,0.0,6,0,1,0,11,17
1997-06-30,1997-06-30,1997.0,5.0,67.0,10.0,39.0,0,0,8,107,0.0,0.0,2,8,2,4,4,29
1997-07-31,1997-07-31,1997.0,1.0,2.0,2.0,0.0,1,1,8,146,0.0,0.0,3,15,5,29,9,22
1997-08-31,1997-08-31,1997.0,1.0,0.0,7.0,5.0,0,0,12,875,0.0,0.0,3,0,0,0,10,28
1997-09-30,1997-09-30,1997.0,3.0,5.0,3.0,0.0,0,0,2,5,0.0,0.0,1,7,1,5,9,38
1997-10-31,1997-10-31,1997.0,2.0,6.0,0.0,0.0,0,0,11,196,1.0,0.0,8,25,3,39,4,17
1997-11-30,1997-11-30,1997.0,0.0,0.0,4.0,1.0,0,0,17,605,0.0,0.0,7,23,3,29,9,51
1997-12-31,1997-12-31,1997.0,0.0,0.0,1.0,1.0,0,0,11,356,0.0,0.0,1,0,0,0,14,79
1998-01-31,1998-01-31,1998.0,0.0,0.0,1.0,0.0,0,0,11,172,0.0,0.0,2,11,2,1,17,76
1998-02-28,1998-02-28,1998.0,1.0,1.0,0.0,0.0,0,0,5,100,1.0,0.0,5,0,19,1,6,28
1998-03-31,1998-03-31,1998.0,0.0,0.0,5.0,3.0,0,0,22,587,0.0,0.0,2,0,8,0,8,42
